Date 		| Time 		| Blue Shrooms 	| Blue Bets | Red Shrooms 	| Red Bets 	| My Shrooms    | My Team 	| Winner
2019-04-15 	| 03:54AM 	| 8977  		| 15 		| 21024 		| 9 		| 500 			| red 		| red
2019-04-15 	| 04:36AM 	| 3051 			| 7 		| 32859 		| 17 		| 500 			| red 		| red
2019-04-15 	| 05:10AM 	| 18300 		| 8 		| 4578 			| 8 		| 500 			| red 		| red
2019-04-15 	| 05:55AM 	| 8256 			| 11 		| 10100 		| 12 		| 500 			| red 		| red
2019-04-15 	| 06:23AM 	| 72863 		| 19 		| 9611 			| 11 		| 500			| blue 		| blue
2019-04-15 	| 06:48AM 	| 28349 		| 19 		| 38524 		| 14 		| 862 			| red 		| red
2019-04-15 	| 07:12AM 	| 34350 		| 20 		| 18577 		| 13 		| 813 			| red 		| red
2019-04-15 	| 07:54AM 	| 96938 		| 27 		| 8259 			| 12 		| 500			| blue 		| blue
2019-04-15 	| 09:43AM 	| 8950 			| 11 		| 29726 		| 27 		| 500 			| red 		| red
2019-04-15 	| 10:10AM 	| 26657 		| 24 		| 24508 		| 15 		| 974			| blue 		| blue
2019-04-15 	| 10:45AM 	| 24825 		| 21 		| 51687 		| 20 		| 1038			| blue 		| blue
2019-04-15 	| 11:28AM 	| 20296 		| 17 		| 46630 		| 30 		| 595 			| red 		| red
2019-04-15 	| 11:57AM 	| 26010 		| 21 		| 39524 		| 24 		| 500 			| red 		| red
2019-04-15 	| 12:28PM 	| 20744 		| 14 		| 37620 		| 22 		| 702 			| red 		| red
2019-04-15 	| 01:08PM 	| 14558 		| 12 		| 47354 		| 10 		| 557			| blue 		| blue
2019-04-15 	| 01:34PM 	| 11074 		| 10 		| 62459 		| 23 		| 500 			| red 		| red
2019-04-15 	| 02:20PM 	| 44362			| 34 		| 20283 		| 18 		| 732			| blue 		| blue
2019-04-15 	| 02:42PM 	| 129366  		| 35 		| 25421 		| 25 		| 963			| blue 		| blue
2019-04-15 	| 03:09PM 	| 36191 		| 20 		| 35100 		| 18 		| 1117			| blue 		| blue
2019-04-15 	| 03:35PM 	| 28825 		| 18 		| 28800 		| 23 		| 539			| blue 		| blue
2019-04-15 	| 04:11PM 	| 20191 		| 16 		| 74634 		| 25 		| 870			| blue 		| blue
2019-04-15 	| 04:58PM 	| 82447 		| 34 		| 17168 		| 16 		| 635 			| red 		| red
